The data supplied is licensed under a Creative Commons Attribution 4.0 licence. ,,,,
To view a copy of this licence visit:,,,,
http://creativecommons.org/licenses/by/4.0,,,,
,,,,
Licence:,,,,
This work is licensed under a Creative Commons Attribution 4.0 Licence: ,,,,
http://creativecommons.org/licenses/by/4.0/legalcode ,,,,
,,,,
You are free:,,,,
,,,,
               1.to copy distribute display and perform the work,,,,
               2.to make derivative works,,,,
               3.to make commercial use of the work,,,,
,,,,
Under the following conditions:,,,,
,,,,
               1. You must give the original author credit.,,,,
"               2. Please attribute ""NSW Office of Environment and Heritage"" in any publications using this data.",,,,
,,,,
,,,,
Station Name, Cabbage Tree Creek Downstream (Live),,,
Station Number,214406,,,
Longitude,150.892547,,,
Latitude,-34.396809,,,
Web,http://www.mhl.nsw.gov.au/Site-214406,,,
Google Maps,"https://www.google.com.au/maps/place//@-34.396809,150.892547,14z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",,,
,,,,
Datum, AHD,,,
14/04/1999,0:00:00,4.030,161 (Data Loss),14/04/1999 0:00
15/04/1999,0:00:00,4.030,161 (Data Loss),15/04/1999 0:00
16/04/1999,0:00:00,4.030,161 (Data Loss),16/04/1999 0:00
17/04/1999,0:00:00,4.030,161 (Data Loss),17/04/1999 0:00
18/04/1999,0:00:00,4.030,161 (Data Loss),18/04/1999 0:00
19/04/1999,0:00:00,4.030,161 (Data Loss),19/04/1999 0:00
20/04/1999,0:00:00,4.030,161 (Data Loss),20/04/1999 0:00
21/04/1999,0:00:00,4.030,161 (Data Loss),21/04/1999 0:00
22/04/1999,0:00:00,4.030,161 (Data Loss),22/04/1999 0:00
23/04/1999,0:00:00,4.030,161 (Data Loss),23/04/1999 0:00
24/04/1999,0:00:00,4.030,161 (Data Loss),24/04/1999 0:00
25/04/1999,0:00:00,4.030,161 (Data Loss),25/04/1999 0:00
26/04/1999,0:00:00,4.030,161 (Data Loss),26/04/1999 0:00
27/04/1999,0:00:00,4.030,161 (Data Loss),27/04/1999 0:00
28/04/1999,0:00:00,4.030,161 (Data Loss),28/04/1999 0:00
29/04/1999,0:00:00,4.030,161 (Data Loss),29/04/1999 0:00
30/04/1999,0:00:00,4.030,161 (Data Loss),30/04/1999 0:00
1/05/1999,0:00:00,4.030,161 (Data Loss),1/05/1999 0:00
2/05/1999,0:00:00,4.030,161 (Data Loss),2/05/1999 0:00
3/05/1999,0:00:00,4.030,161 (Data Loss),3/05/1999 0:00
4/05/1999,0:00:00,4.030,161 (Data Loss),4/05/1999 0:00
5/05/1999,0:00:00,4.030,161 (Data Loss),5/05/1999 0:00
6/05/1999,0:00:00,4.030,161 (Data Loss),6/05/1999 0:00
7/05/1999,0:00:00,4.030,161 (Data Loss),7/05/1999 0:00
8/05/1999,0:00:00,4.030,161 (Data Loss),8/05/1999 0:00
9/05/1999,0:00:00,4.030,161 (Data Loss),9/05/1999 0:00
10/05/1999,0:00:00,4.030,161 (Data Loss),10/05/1999 0:00
11/05/1999,0:00:00,4.030,161 (Data Loss),11/05/1999 0:00
